miR203,0,1,0,0,0,0,0,1,0
ERK,1,0,0,0,0,1,1,0,1
Apoptosis,0,1,1,1,0,0,0,1,0
Invasion,1,0,0,0,0,0,1,0,0
AKT2,1,0,0,0,0,1,1,0,1
TGFbeta,1,0,0,1,0,0,1,1,0
CellCycleArrest,1,1,1,1,0,1,1,1,1
CDH1,0,1,1,1,1,0,0,1,0
miR200,0,1,1,1,0,0,0,1,0
Migration,1,0,0,0,0,0,1,0,0
EMT,1,0,0,0,0,1,1,0,1
SNAI1,1,0,0,0,0,1,1,0,1
CTNNB1,0,0,0,0,0,0,0,0,0
p53,0,1,0,0,0,0,0,1,0
miR34,0,0,0,0,0,0,0,0,0
DKK1,1,0,0,0,0,0,1,0,0
ECM,1,0,0,1,0,0,1,1,0
ZEB1,1,0,0,0,0,1,1,0,1
ZEB2,1,0,0,0,0,1,1,0,1
CDH2,1,0,0,0,0,1,1,0,1
GF,1,0,0,0,0,1,1,0,1
TWIST1,1,0,0,0,0,1,1,0,1
SMAD,1,0,0,0,0,0,1,0,0
NICD,1,0,0,0,0,0,1,0,0
p63,0,0,1,1,0,0,0,0,0
AKT1,0,0,0,0,0,0,0,0,0
p21,0,1,1,1,0,0,0,1,0
SNAI2,1,0,0,0,0,1,1,0,1
Metastasis,1,0,0,0,0,0,1,0,0
DNAdamage,0,1,1,1,0,0,1,1,1
p73,0,0,1,1,0,0,0,0,0
VIM,1,0,0,0,0,1,1,0,1
