miR203,False,True,False,False,False,False,False,True,False
ERK,True,False,False,False,False,True,True,False,True
Apoptosis,False,True,True,True,False,False,False,True,False
Invasion,True,False,False,False,False,False,True,False,False
AKT2,True,False,False,False,False,True,True,False,True
TGFbeta,True,False,False,True,False,False,True,True,False
CellCycleArrest,True,True,True,True,False,True,True,True,True
CDH1,False,True,True,True,True,False,False,True,False
miR200,False,True,True,True,False,False,False,True,False
Migration,True,False,False,False,False,False,True,False,False
EMT,True,False,False,False,False,True,True,False,True
SNAI1,True,False,False,False,False,True,True,False,True
CTNNB1,False,False,False,False,False,False,False,False,False
p53,False,True,False,False,False,False,False,True,False
miR34,False,False,False,False,False,False,False,False,False
DKK1,True,False,False,False,False,False,True,False,False
ECM,True,False,False,True,False,False,True,True,False
ZEB1,True,False,False,False,False,True,True,False,True
ZEB2,True,False,False,False,False,True,True,False,True
CDH2,True,False,False,False,False,True,True,False,True
GF,True,False,False,False,False,True,True,False,True
TWIST1,True,False,False,False,False,True,True,False,True
SMAD,True,False,False,False,False,False,True,False,False
NICD,True,False,False,False,False,False,True,False,False
p63,False,False,True,True,False,False,False,False,False
AKT1,False,False,False,False,False,False,False,False,False
p21,False,True,True,True,False,False,False,True,False
SNAI2,True,False,False,False,False,True,True,False,True
Metastasis,True,False,False,False,False,False,True,False,False
DNAdamage,False,True,True,True,False,False,True,True,True
p73,False,False,True,True,False,False,False,False,False
VIM,True,False,False,False,False,True,True,False,True
